StationCode,AnalyteName,UnitName,Result,SampleDate
541WWDPC5,Aldrin,ug/L,0.196,01/03/2011
541WWDPC5,Aldrin,ug/L,0.2,01/03/2011
203MON010-REC,Chromium,ug/L,0.1655,01/03/2016
203PEB010-REC,Chromium,ug/L,0.3731,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.084,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.084,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
402MAR010-REC,Chromium,ug/L,0.6724,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.086,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.086,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.084,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Chromium,ug/L,0.153,01/03/2016
203CAR010-REC,Chromium,ug/L,0.1545,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203PEB010-REC,Chromium,ug/L,0.3897,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203PAC040-REC,Chromium,ug/L,0.1677,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
402MAR010-REC,Chromium,ug/L,0.7088,01/03/2016
402MAR010-REC,Chromium,ug/L,0.6724,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.086,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Chromium,ug/L,0.153,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203PEB010-REC,Chromium,ug/L,0.3731,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
205SAN030-REC,Chromium,ug/L,1.0647,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Chromium,ug/L,0.1545,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203PAC080-REC,Chromium,ug/L,0.1901,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Bifenthrin,ug/L,0.025,01/03/2016
402MAR010-REC,Chromium,ug/L,0.7088,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.027,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.084,01/03/2016
203PAC040-REC,Chromium,ug/L,0.1677,01/03/2016
203CAR010-REC,Acenaphthene,ug/L,0.088,01/03/2016
203PAC010-REC,Acenaphthene,ug/L,0.086,01/03/2016
205SAN030-REC,Chromium,ug/L,1.0647,01/03/2016
203PEB010-REC,Chromium,ug/L,0.3897,01/03/2016
203PAC080-REC,Chromium,ug/L,0.1901,01/03/2016
203MON010-REC,Chromium,ug/L,0.1655,01/03/2016
203CAR010-REC,Bifenthrin,ug/L,0.025,01/03/2016
114MW0020,Aluminum,ug/L,163,01/03/2017
114BS0310,Aluminum,ug/L,140,01/03/2017
114RR8709,Aluminum,ug/L,548,01/03/2017
114BS0310,Aluminum,ug/L,148,01/03/2017
114RR1898,Aluminum,ug/L,250,01/03/2017
114RR8473,Aluminum,ug/L,438,01/03/2017
114RR2940,Aluminum,ug/L,216,01/03/2017
114BS0310,Aluminum,ug/L,147,01/03/2017
114RR7396,Aluminum,ug/L,361,01/03/2017
114RR6273_SWAMP,Aluminum,ug/L,322,01/03/2017
114RR4234,Aluminum,ug/L,239,01/03/2017
114BS0310,Aluminum,ug/L,3237,01/04/2017
12-351,Chromium,ug/L,0.2131,01/04/2017
114RR6273_SWAMP,Aluminum,ug/L,3477,01/04/2017
114RR8709,Aluminum,ug/L,2387,01/04/2017
114RR8709,Aluminum,ug/L,2359,01/04/2017
114RR7396,Aluminum,ug/L,2613,01/04/2017
114RR1898,Aluminum,ug/L,3865,01/04/2017
114RR7396,Aluminum,ug/L,3172,01/04/2017
114RR8473,Aluminum,ug/L,2016,01/04/2017
114MW0020,Aluminum,ug/L,2012,01/04/2017
114RR7396,Aluminum,ug/L,2895,01/04/2017
114RR4234,Aluminum,ug/L,4190,01/04/2017
114RR7396,Aluminum,ug/L,3125,01/04/2017
114RR2940,Aluminum,ug/L,7079,01/04/2017
203PAC080-REC,Chromium,ug/L,0.1879,01/05/2016
ME-VR2,Captan,ug/L,4.3,01/05/2016
802NVO325,Chromium,ug/L,0.4,01/05/2016
203MON010-REC,Chromium,ug/L,0.189,01/05/2016
203PAC010-REC,Chromium,ug/L,0.32,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
NRSP-SW01,Acenaphthene,ug/L,0.16,01/05/2016
203MON010-REC,Chromium,ug/L,0.189,01/05/2016
203PEB010-REC,Chromium,ug/L,0.6898,01/05/2016
ME-VR2,Acenaphthene,ug/L,0.38,01/05/2016
203PAC080-REC,Chromium,ug/L,0.1879,01/05/2016
13_BELT,Bifenthrin,ug/L,0.2078,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
13_SB_HILL,Bifenthrin,ug/L,0.0341,01/05/2016
ME-VR2,Aldrin,ug/L,0.0075,01/05/2016
10_GATE,Bifenthrin,ug/L,0.3067,01/05/2016
01T_ODD2_DCH,Bifenthrin,ug/L,0.8402,01/05/2016
902LMC778,Chromium,ug/L,24,01/05/2016
402MAR010-REC,Chromium,ug/L,3.9192,01/05/2016
203CAR010-REC,Chromium,ug/L,0.8162,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
203PEB010-REC,Chromium,ug/L,0.6898,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
2301Glassell,Chromium,ug/L,6,01/05/2016
203PAC040-REC,Chromium,ug/L,0.2873,01/05/2016
204ANO010-REF,Chromium,ug/L,0.6978,01/05/2016
ME-VR2,Chromium,ug/L,0.04,01/05/2016
203PEB010-REC,Chromium,ug/L,0.6611,01/05/2016
ME-VR2,Aluminum,ug/L,2,01/05/2016
206SAN010-REF,Chromium,ug/L,13.3719,01/05/2016
402MAR010-REC,Chromium,ug/L,3.9192,01/05/2016
ME-VR2,Alachlor,ug/L,0.11,01/05/2016
06T_FC_BR,Bifenthrin,ug/L,0.0922,01/05/2016
801TMS746,Chromium,ug/L,6.1,01/05/2016
NRSP-SW01,Aluminum,ug/L,34,01/05/2016
203PAC040-REC,Chromium,ug/L,0.2873,01/05/2016
NRSP-SW01,Aluminum,ug/L,37000,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
902LMC778,Chromium,ug/L,24,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
NRSP-SW01,Acenaphthene,ug/L,0.21,01/05/2016
206SAN010-REF,Chromium,ug/L,13.3719,01/05/2016
ME-VR2,Aluminum,ug/L,67,01/05/2016
203CAR010-REC,Chromium,ug/L,0.8162,01/05/2016
802NVO325,Chromium,ug/L,33,01/05/2016
ME-VR2,Acenaphthene,ug/L,0.1,01/05/2016
203PEB010-REC,Chromium,ug/L,0.6611,01/05/2016
222Bristol,Chromium,ug/L,3.9,01/05/2016
205SAN030-REC,Acenaphthene,ug/L,0.003,01/05/2016
402MAR010-REC,Acenaphthene,ug/L,0.01,01/05/2016
ME-VR2,Chromium,ug/L,0.23,01/05/2016
NRSP-SW01,Chromium,ug/L,48,01/05/2016
205SAN030-REC,Chromium,ug/L,1.7828,01/05/2016
NRSP-SW02,Aluminum,ug/L,4000,01/05/2016
07_HITCH,Bifenthrin,ug/L,0.0966,01/05/2016
NRSP-SW02,Chromium,ug/L,6.3,01/05/2016
203PAC010-REC,Chromium,ug/L,0.32,01/05/2016
07D_HITCH_LEVEE_2,Bifenthrin,ug/L,0.0409,01/05/2016
205SAN030-REC,Chromium,ug/L,1.7828,01/05/2016
NRSP-SW02,Aluminum,ug/L,5.8,01/05/2016
801TMS746,Chromium,ug/L,0.4,01/05/2016
12-363,Acenaphthene,ug/L,0.0021,01/05/2017
ME-SCR,Alachlor,ug/L,0.022,01/05/2017
ME-SCR,Captan,ug/L,0.86,01/05/2017
1-323,Chromium,ug/L,0.81,01/05/2017
12-351,Chromium,ug/L,1.1895,01/05/2017
ME-SCR,Acenaphthene,ug/L,0.38,01/05/2017
12-351,Chromium,ug/L,9.7763,01/05/2017
1-323,Chromium,ug/L,0.81,01/05/2017
ME-SCR,Acenaphthene,ug/L,0.1,01/05/2017
12-363,Chromium,ug/L,47.9176,01/05/2017
12-351,Chromium,ug/L,6.1976,01/05/2017
ME-SCR,Aluminum,ug/L,2500,01/05/2017
ME-SCR,Aldrin,ug/L,0.0015,01/05/2017
ME-SCR,Aluminum,ug/L,16,01/05/2017
ME-SCR,Chromium,ug/L,3.2,01/05/2017
ME-SCR,Chromium,ug/L,0.087,01/05/2017
ME-VR2,Aluminum,ug/L,48,01/05/2019
ME-VR2,Acenaphthene,ug/L,0.1,01/05/2019
ME-VR2,Acenaphthene,ug/L,0.38,01/05/2019
ME-VR2,Aldrin,ug/L,0.0648,01/05/2019
ME-VR2,Aluminum,ug/L,17,01/05/2019
ME-VR2,Chromium,ug/L,0.035,01/05/2019
7-407,Chromium,ug/L,0.646,01/05/2019
ME-VR2,Aldrin,ug/L,0.0724,01/05/2019
ME-VR2,Chromium,ug/L,0.07,01/05/2019
ME-VR2,Captan,ug/L,0.86,01/05/2019
ME-VR2,Alachlor,ug/L,0.022,01/05/2019
ME-VR2,Aldrin,ug/L,0.0015,01/05/2019
7-407,Chromium,ug/L,0.646,01/05/2019
2301Glassell,Chromium,ug/L,8,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.024,01/06/2016
S04T_TAPO,Bifenthrin,ug/L,0.0379,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.024,01/06/2016
902ADB848,Chromium,ug/L,0.7,01/06/2016
S04T_TAPO,Bifenthrin,ug/L,0.035,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.027,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
S04T_TAPO,Bifenthrin,ug/L,0.0342,01/06/2016
902LTC777,Chromium,ug/L,6,01/06/2016
ME-SCR,Aluminum,ug/L,6.3,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.027,01/06/2016
ME-CC,Alachlor,ug/L,0.088,01/06/2016
902LTC777,Chromium,ug/L,6,01/06/2016
ME-SCR,Aluminum,ug/L,300000,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
ME-CC,Aldrin,ug/L,0.003,01/06/2016
222Bristol,Chromium,ug/L,3.2,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
S02T_TODD,Bifenthrin,ug/L,0.0075,01/06/2016
ME-CC,Aluminum,ug/L,4200,01/06/2016
902ADB848,Chromium,ug/L,0.7,01/06/2016
ME-CC,Chromium,ug/L,0.39,01/06/2016
ME-SCR,Chromium,ug/L,0.16,01/06/2016
ME-SCR,Chromium,ug/L,560,01/06/2016
ME-CC,Aluminum,ug/L,25,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.027,01/06/2016
S03T_TIMB,Bifenthrin,ug/L,0.0096,01/06/2016
05T_HONDO,Bifenthrin,ug/L,0.1753,01/06/2016
ME-CC,Acenaphthene,ug/L,0.38,01/06/2016
ME-CC,Captan,ug/L,3.4,01/06/2016
ME-CC,Chromium,ug/L,12,01/06/2016
S04T_TAPO,Bifenthrin,ug/L,0.7325,01/06/2016
S03T_BOULD,Bifenthrin,ug/L,0.0094,01/06/2016
S04T_TAPO,Bifenthrin,ug/L,0.7021,01/06/2016
06T_LONG2,Bifenthrin,ug/L,0.6048,01/06/2016
ME-CC,Acenaphthene,ug/L,0.1,01/06/2016
S04T_TAPO,Aldrin,ug/L,0.5177,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
204ANO010-REF,Bifenthrin,ug/L,0.024,01/06/2016
S04T_TAPO,Aldrin,ug/L,0.2376,01/06/2016
204ANO010-REF,Acenaphthene,ug/L,0.097,01/06/2016
S02T_ELLS,Bifenthrin,ug/L,0.0897,01/06/2016
ME-SCR,Aluminum,ug/L,1700,01/06/2019
ME-SCR,Aluminum,ug/L,4.4,01/06/2019
ME-CC,Chromium,ug/L,0.23,01/06/2019
ME-SCR,Captan,ug/L,4.3,01/06/2019
ME-CC,Aldrin,ug/L,0.015,01/06/2019
ME-CC,Captan,ug/L,8.6,01/06/2019
ME-CC,Aluminum,ug/L,14,01/06/2019
ME-CC,Aluminum,ug/L,21000,01/06/2019
ME-CC,Acenaphthene,ug/L,0.1,01/06/2019
ME-SCR,Aldrin,ug/L,0.015,01/06/2019
7-407,Chromium,ug/L,1.35,01/06/2019
ME-SCR,Alachlor,ug/L,0.11,01/06/2019
ME-SCR,Chromium,ug/L,0.15,01/06/2019
ME-SCR,Chromium,ug/L,2.5,01/06/2019
ME-CC,Chromium,ug/L,71,01/06/2019
ME-CC,Acenaphthene,ug/L,0.38,01/06/2019
ME-CC,Alachlor,ug/L,0.22,01/06/2019
7-407,Chromium,ug/L,1.35,01/06/2019
ME-SCR,Acenaphthene,ug/L,0.1,01/06/2019
ME-SCR,Acenaphthene,ug/L,0.38,01/06/2019
SLR-TWAS-1,Chromium,ug/L,0.039,01/07/2015
SLR-TWAS-1,Chromium,ug/L,0.077,01/07/2015
541MER531,Aldrin,ug/L,0.165,01/07/2016
541MER531,Aldrin,ug/L,0.167,01/07/2016
541XPSAIA,Aldrin,ug/L,0.192,01/08/2013
541XPSAIA,Aldrin,ug/L,0.19,01/08/2013
SM-TWAS-1b,Chromium,ug/L,0.14,01/08/2015
SDC-MLS,Chromium,ug/L,47.6,01/08/2015
LPC-MLS,Bifenthrin,ug/L,0.5472,01/08/2015
SDC-TWAS-1,Chromium,ug/L,0.18,01/08/2015
SM-TWAS-1b,Chromium,ug/L,0.055,01/08/2015
LPC-MLS,Chromium,ug/L,0.056,01/08/2015
ESC-MLS,Chromium,ug/L,0.14,01/08/2015
SDC-TWAS-1,Chromium,ug/L,0.078,01/08/2015
SDC-MLS,Aluminum,ug/L,94.9,01/08/2015
SDC-MLS,Chromium,ug/L,47.3,01/08/2015
SDC-TWAS-1,Chromium,ug/L,0.162,01/08/2015
SDC-MLS,Aluminum,ug/L,49.6,01/08/2015
SDC-TWAS-1,Chromium,ug/L,0.0883,01/08/2015
SMR-MLS-2,Chromium,ug/L,0.12,01/08/2015
SDC-MLS,Aluminum,ug/L,1.7,01/08/2015
SDC-MLS,Chromium,ug/L,47.2,01/08/2015
SDC-MLS,Aluminum,ug/L,46,01/08/2015
SDC-TWAS-1,Aluminum,ug/L,8.49,01/08/2015
SDC-MLS,Chromium,ug/L,0.043,01/08/2015
ESC-MLS,Chromium,ug/L,0.11,01/08/2015
SMR-MLS-2,Chromium,ug/L,0.047,01/08/2015
LPC-MLS,Chromium,ug/L,0.043,01/08/2015
SDC-MLS,Chromium,ug/L,0.11,01/08/2015
SDC-MLS,Aluminum,ug/L,50.4,01/08/2015
SDC-MLS,Chromium,ug/L,48.2,01/08/2015
LPC-MLS,Bifenthrin,ug/L,0.6619,01/08/2015
SDC-MLS,Aluminum,ug/L,92.6,01/08/2015
541WWDPC5,Aldrin,ug/L,0.0841,01/08/2016
541WWDPC5,Aldrin,ug/L,0.105,01/08/2016
114MW0020,Aluminum,ug/L,2348,01/08/2017
114RR7396,Aluminum,ug/L,9846,01/08/2017
114RR8473,Aluminum,ug/L,10730,01/08/2017
114RR2940,Aluminum,ug/L,10730,01/08/2017
12-351,Chromium,ug/L,0.3167,01/08/2017
114RR8709,Aluminum,ug/L,9651,01/08/2017
114RR7396,Aluminum,ug/L,9882,01/08/2017
114RR7396,Aluminum,ug/L,10400,01/08/2017
114BS0310,Aluminum,ug/L,10730,01/08/2017
114RR6273_SWAMP,Aluminum,ug/L,10730,01/08/2017
114RR1898,Aluminum,ug/L,7486,01/08/2017
114RR4234,Aluminum,ug/L,10730,01/08/2017
204COR010,Bifenthrin,ug/L,0.474,01/08/2018
204COR010,Bifenthrin,ug/L,0.626,01/08/2018
205CAL018,Bifenthrin,ug/L,0.0185,01/08/2018
204R01412,Bifenthrin,ug/L,0.0172,01/08/2018
205R01198,Bifenthrin,ug/L,0.0116,01/08/2018
7-407,Chromium,ug/L,0.345,01/08/2018
205STE021,Bifenthrin,ug/L,0.0063,01/08/2018
7-407,Chromium,ug/L,0.345,01/08/2018
204R01412,Bifenthrin,ug/L,0.0187,01/08/2018
723STLD12,Chromium,ug/L,0.67,01/08/2020
723STLD12,Aluminum,ug/L,1.22,01/08/2020
NRSP-SW01,Chromium,ug/L,17,01/09/2017
Markham_Auto,Aluminum,ug/L,1600,01/09/2017
12-351,Chromium,ug/L,1.2746,01/09/2017
Bioretention_Area,Aluminum,ug/L,10,01/09/2017
Bioretention_Area,Aluminum,ug/L,780,01/09/2017
12-363,Chromium,ug/L,31.7247,01/09/2017
Markham_Auto,Chromium,ug/L,0.31,01/09/2017
12-351,Chromium,ug/L,5.0067,01/09/2017
Bioretention_Area,Chromium,ug/L,1.1,01/09/2017
Markham_Auto,Chromium,ug/L,2.3,01/09/2017
NRSP-SW02,Chromium,ug/L,40,01/09/2017
558WWDAPE,Aldrin,ug/L,0.229,01/09/2017
NRSP-SW01,Aluminum,ug/L,26,01/09/2017
NRSP-SW02,Aluminum,ug/L,42,01/09/2017
NRSP-SW01,Aluminum,ug/L,14000,01/09/2017
Markham_Auto,Aluminum,ug/L,14,01/09/2017
558WWDAPE,Aldrin,ug/L,0.211,01/09/2017
NRSP-SW02,Aluminum,ug/L,36000,01/09/2017
12-351,Acenaphthene,ug/L,0.0016,01/09/2017
12-351,Chromium,ug/L,6.3053,01/09/2017
12-363,Acenaphthene,ug/L,0.002,01/09/2017
ME-SCR,Chromium,ug/L,0.035,01/09/2018
ME-VR2,Alachlor,ug/L,0.22,01/09/2018
802NVO325,Chromium,ug/L,0.7,01/09/2018
7-407,Chromium,ug/L,0.292,01/09/2018
ME-SCR,Aldrin,ug/L,0.0075,01/09/2018
902LTC777,Chromium,ug/L,20,01/09/2018
801TMS746,Chromium,ug/L,7.5,01/09/2018
ME-SCR,Aluminum,ug/L,2.3,01/09/2018
Pump Station 7,Acenaphthene,ug/L,0.012,01/09/2018
902LMC778,Chromium,ug/L,7.1,01/09/2018
801TMS746,Chromium,ug/L,40.5,01/09/2018
ME-VR2,Aluminum,ug/L,110000,01/09/2018
801TMS746,Chromium,ug/L,0.6,01/09/2018
ME-SCR,Aluminum,ug/L,120,01/09/2018
ME-SCR,Aluminum,ug/L,166,01/09/2018
Outfall 85,Acenaphthene,ug/L,0.0177,01/09/2018
204SAU030,Bifenthrin,ug/L,0.00358,01/09/2018
802NVO325,Acenaphthene,ug/L,0.24,01/09/2018
ME-VR2,Aldrin,ug/L,0.075,01/09/2018
ME-SCR,Captan,ug/L,0.86,01/09/2018
ME-SCR,Aluminum,ug/L,165,01/09/2018
902ADB848,Chromium,ug/L,1,01/09/2018
ME-SCR,Acenaphthene,ug/L,0.1,01/09/2018
